City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
35,puerto natales,-51.7236,-72.4875,0.25,80,75,1.03,CL,1723084256
36,belmonte,-15.8631,-38.8828,22.1,70,42,1.75,BR,1723084258
37,olonkinbyen,70.9221,-8.7187,5.38,100,100,3.94,SJ,1723084259
38,choibalsan,48.0667,114.5,24.42,50,100,2.43,MN,1723084260
39,xiaoweizhai,26.1903,107.5125,27.56,73,50,5.38,CN,1723084261
40,tabou,4.423,-7.3528,23.41,79,100,3.75,CI,1723084262
41,kabardinka,44.6514,37.9428,19.91,74,0,0.76,RU,1723084263
42,nadym,65.5333,72.5167,10.78,68,96,5.52,RU,1723084264
43,quang ngai,15.1167,108.8,35.67,45,12,0.63,VN,1723084265
44,jamestown,42.097,-79.2353,19.8,88,100,3.6,US,1723084267
45,mil'kovo,55.6078,37.7956,18.13,73,100,1.69,RU,1723084268
46,port elizabeth,-33.918,25.5701,14.16,95,20,5.14,ZA,1723084269
47,afaahiti,-17.75,-149.2833,26.93,82,6,7.77,PF,1723084270
48,al jawf,29.5,38.75,23.87,40,1,3.2,SA,1723084271
49,monguno,12.6786,13.6079,24.51,85,100,5.06,NG,1723084272
50,nguigmi,14.2495,13.1092,27.21,70,100,4.79,NE,1723084273
51,bonny,4.4522,7.1681,24.82,84,100,4.47,NG,1723084274
52,san antonio,29.4241,-98.4936,34.41,50,20,5.66,US,1723083873
53,invercargill,-46.4,168.35,8.9,83,59,3.58,NZ,1723084277
54,waitangi,-43.9535,-176.5597,12.12,73,32,3.13,NZ,1723084278
55,blackmans bay,-43.0167,147.3167,13.18,65,100,1.34,AU,1723084279
56,ilulissat,69.2167,-51.1,4.01,100,100,0.0,GL,1723084280
57,qaqortoq,60.7167,-46.0333,7.08,93,100,2.29,GL,1723084281
58,linhares,-19.3911,-40.0722,18.92,87,0,1.76,BR,1723084282
59,avarua,-21.2078,-159.775,24.03,60,20,4.63,CK,1723084285
60,port macquarie,-31.4333,152.9167,19.48,58,2,2.68,AU,1723084286
61,midvagur,62.0511,-7.1939,9.46,100,40,1.54,FO,1723084288
62,thompson,55.7435,-97.8558,15.09,63,75,2.57,CA,1723084289
63,utrik,11.2278,169.8474,28.14,78,20,5.93,MH,1723084290
64,papatowai,-46.5619,169.4708,8.71,76,61,4.26,NZ,1723084291
65,moses lake,47.1301,-119.2781,34.38,20,0,3.09,US,1723084285
66,porto novo,6.4965,2.6036,24.9,85,100,3.34,BJ,1723084293
67,san antonio de pale,-1.4014,5.6325,22.65,82,100,5.61,GQ,1723084294
68,manggar,-2.8833,108.2667,29.11,73,55,6.86,ID,1723084296
69,georgetown,5.4112,100.3354,29.96,68,20,3.09,MY,1723084244
70,crane,31.3974,-102.3501,34.76,19,0,2.24,US,1723084299
71,katsuura,35.1333,140.3,28.36,79,19,3.82,JP,1723084300
72,klyuchi,52.2667,79.1667,22.88,67,99,2.9,RU,1723084301
73,mariehamn,60.0973,19.9348,18.79,100,31,0.0,AX,1723084302
